M|11,13,19|10.5741,35.7159;10.5782,35.6540;10.6071,35.5633;10.6319,35.4313;10.6566,35.4189;10.6649,35.4066;10.6649,35.3695;10.6690,35.3447;10.6896,35.3076
P|11|10.6896,35.3076;10.7102,35.3076;10.7515,35.3406;10.7968,35.3488;10.8257,35.3695;10.8505,35.3818;10.9453,35.4107;10.9989,35.4396;10.9989,35.4519;11.0237,35.4684
P|4,9,18|8.9821,35.8190;9.0275,35.7324;9.0481,35.6623;9.0934,35.5674;9.1058,35.5262;9.1223,35.4891;9.1388,35.4396;9.1388,35.4189;9.1347,35.4066;9.1099,35.3901;9.0811,35.3323;9.0852,35.3076;9.0934,35.2952;9.1017,35.2457
P|9|9.1182,35.2457;9.1017,35.2457
P|9,17|9.3780,35.3158;9.3574,35.3076;9.3327,35.3117;9.2461,35.2663;9.2131,35.2622;9.1636,35.2416;9.1182,35.2457
P|9|8.5944,35.6499;8.6150,35.6417;8.6274,35.6128;8.6480,35.5922;8.6686,35.5798;8.6810,35.5344;8.7181,35.5179;8.7346,35.4891;8.7470,35.4808;8.7594,35.4602;8.7429,35.4189;8.7222,35.3530;8.7181,35.3241;8.7387,35.2911;8.7470,35.2540;8.7759,35.1880
P|11|10.2937,35.1880;10.3019,35.2003;10.3184,35.2581;10.3473,35.2746;10.3761,35.2787;10.4215,35.2911;10.4793,35.3200;10.5246,35.3488;10.5370,35.3488;10.5700,35.3365;10.5989,35.3323;10.6277,35.3200;10.6896,35.3076
P|9|9.1017,35.2457;9.0646,35.2622;9.0275,35.2622;8.9862,35.2457;8.8831,35.2127;8.8584,35.1962;8.8419,35.1756;8.8336,35.1715;8.8047,35.1715;8.7759,35.1880
P|9,17|9.3327,35.1509;9.2296,35.1880;9.2172,35.1962;9.1429,35.2210;9.1182,35.2457
P|17|9.5306,35.0972;9.4811,35.1137;9.4152,35.1261;9.3327,35.1509
P|8,16|10.0586,35.3983;10.0421,35.3653;10.0297,35.3282;10.0297,35.2663;10.0256,35.2251;10.0338,35.2003;10.0421,35.1385;10.0338,35.1137;10.0379,35.0931;10.0503,35.0725;10.0627,35.0395
P|8,16,17|10.0627,35.0395;10.0173,35.0395;9.9884,35.0477;9.9719,35.0725;9.9307,35.0931;9.9018,35.0931;9.8028,35.0766;9.7822,35.0766;9.6956,35.0642;9.6709,35.0519;9.6544,35.0601;9.5471,35.0972;9.5306,35.0972
P|11,16|10.2937,35.1880;10.2772,35.1674;10.2813,35.1055;10.2772,35.0931;10.2854,35.0519;10.2524,35.0230
P|16|10.2524,35.0230;10.1122,35.0395;10.0627,35.0395
P|9|8.7759,35.1880;8.7800,35.1632;8.7676,35.1467;8.7470,35.1302;8.7099,35.1137;8.7016,35.1055;8.6810,35.0766;8.6521,35.0477;8.6356,35.0024;8.6026,34.9611
P|9|8.1325,35.3983;8.1737,35.3901;8.2232,35.3736;8.2438,35.3612;8.2686,35.3365;8.2768,35.3076;8.2933,35.2787;8.3387,35.2292;8.4418,35.1426;8.4748,35.1344;8.5160,35.0890;8.5655,35.0601;8.6026,34.9611
P|17|9.1966,34.9488;9.2461,34.9570;9.2873,34.9694;9.2997,34.9694;9.3698,34.9941;9.3863,34.9941;9.4729,35.0271;9.5018,35.0436;9.5183,35.0601;9.5306,35.0972
P|9,17|9.3327,35.1509;9.2955,35.0931;9.2832,35.0807;9.2543,35.0395;9.2254,34.9900;9.1966,34.9488
M|11,16|10.6896,35.3076;10.6855,35.2663;10.6937,35.2375;10.7061,35.2168;10.7308,35.1962;10.7391,35.1797;10.7515,35.0849;10.7515,35.0684;10.7267,34.9941;10.7267,34.9446;10.7308,34.8993;10.7308,34.8333;10.7267,34.8127;10.7308,34.7714
P|11,16|11.0237,35.4684;11.0031,35.3983;11.0031,35.3695;11.0113,35.3447;11.0237,35.3200;11.1020,35.2457;11.1062,35.2333;11.0732,35.1921;11.0402,35.1797;11.0278,35.1674;11.0031,35.1261;10.9742,35.0890;10.9288,35.0601;10.9206,35.0519;10.8752,34.9405;10.8463,34.9116;10.8422,34.8745;10.8298,34.8498;10.7515,34.7549;10.7350,34.7425
P|16|10.7308,34.7714;10.7350,34.7425
P|16|10.7350,34.7425;10.6195,34.8044;10.5989,34.8250;10.5040,34.8869;10.3720,34.9611;10.3184,34.9983;10.2524,35.0230
P|16|10.0627,35.0395;10.0668,35.0312;10.0627,34.9488;10.0833,34.8498;10.0998,34.8003;10.1039,34.7384
P|16|10.1039,34.7384;10.1452,34.7467;10.2689,34.7590;10.3349,34.7508;10.3844,34.7343;10.4298,34.7302;10.4710,34.7343;10.5081,34.7302;10.5782,34.7302;10.7350,34.7425
P|6,16,17|8.8089,34.4250;8.8254,34.4291;8.8666,34.4538;8.8790,34.4662;8.9161,34.4827;8.9450,34.4909;8.9903,34.4951;9.0027,34.4909;9.0440,34.4951;9.0563,34.5033;9.1223,34.5239;9.1966,34.5446;9.2543,34.5569;9.3368,34.5611;9.3822,34.5569;9.4358,34.5569;9.4976,34.5693;9.5471,34.5817;9.5760,34.5941;9.5884,34.6064;9.6296,34.6312;9.6585,34.6394;9.6832,34.6353;9.7245,34.6353;9.7492,34.6436;9.7781,34.6312;9.8235,34.5858;9.8523,34.5858;9.8812,34.6064;9.9018,34.6312;9.9555,34.6765;10.0173,34.6930;10.0627,34.7219;10.1039,34.7384
P|6,17|9.1966,34.9488;9.1594,34.8745;9.1429,34.8498;9.1388,34.8374;9.1099,34.7920;9.1058,34.7797;9.0646,34.7095;8.9532,34.5858;8.9367,34.5734;8.9243,34.5528;8.8501,34.4745;8.8089,34.4250
P|6,9|8.6026,34.9611;8.5944,34.9488;8.5573,34.9199;8.5490,34.9034;8.5408,34.8621;8.5284,34.8374;8.5284,34.8168;8.5366,34.7838;8.5284,34.7590;8.5284,34.7384;8.5779,34.6600;8.5903,34.6147;8.6068,34.5941;8.6398,34.5693;8.6521,34.5446;8.6851,34.5281;8.7552,34.4538;8.7759,34.4167
